project_id,task_id,task_name,trade,subcontractor,planned_start,planned_end,actual_start,progress_pct,budget_allocated,budget_spent,depends_on_task_id,status
PROJ-001,TASK-001,Site Preparation,General,ABC Site Prep,2024-01-15T08:00:00Z,2024-01-22T17:00:00Z,2024-01-15T08:00:00Z,100,15000,14500,,done
PROJ-001,TASK-002,Foundation Excavation,Excavation,XYZ Excavation,2024-01-23T08:00:00Z,2024-01-30T17:00:00Z,2024-01-23T08:00:00Z,100,25000,26000,TASK-001,done
PROJ-001,TASK-003,Foundation Pour,Concrete,Concrete Masters,2024-01-31T08:00:00Z,2024-02-05T17:00:00Z,2024-02-01T08:00:00Z,100,45000,48000,TASK-002,done
PROJ-001,TASK-004,Foundation Curing,Concrete,Concrete Masters,2024-02-06T08:00:00Z,2024-02-12T17:00:00Z,,100,5000,5000,TASK-003,done
PROJ-001,TASK-005,Frame First Floor,Framing,Frame Builders Inc,2024-02-13T08:00:00Z,2024-02-28T17:00:00Z,2024-02-14T08:00:00Z,85,65000,72000,TASK-004,in_progress
PROJ-001,TASK-006,Frame Second Floor,Framing,Frame Builders Inc,2024-03-01T08:00:00Z,2024-03-15T17:00:00Z,,0,55000,0,TASK-005,not_started
PROJ-001,TASK-007,Rough Electrical,Electrical,Spark Electric,2024-02-20T08:00:00Z,2024-03-05T17:00:00Z,2024-02-21T08:00:00Z,60,35000,28000,TASK-005,in_progress
PROJ-001,TASK-008,Rough Plumbing,Plumbing,Flow Plumbing Co,2024-02-20T08:00:00Z,2024-03-05T17:00:00Z,2024-02-22T08:00:00Z,55,32000,22000,TASK-005,in_progress
PROJ-001,TASK-009,HVAC Rough-In,HVAC,Climate Control LLC,2024-03-06T08:00:00Z,2024-03-18T17:00:00Z,,0,42000,0,TASK-007,not_started
PROJ-001,TASK-010,HVAC Rough-In,HVAC,Climate Control LLC,2024-03-06T08:00:00Z,2024-03-18T17:00:00Z,,0,42000,0,TASK-008,not_started
PROJ-001,TASK-011,Insulation,Insulation,Insulate Pro,2024-03-19T08:00:00Z,2024-03-25T17:00:00Z,,0,18000,0,TASK-009,not_started
PROJ-001,TASK-012,Drywall Installation,Drywall,Drywall Experts,2024-03-26T08:00:00Z,2024-04-10T17:00:00Z,,0,48000,0,TASK-011,not_started
PROJ-001,TASK-013,Painting,Painting,Color Masters,2024-04-11T08:00:00Z,2024-04-22T17:00:00Z,,0,28000,0,TASK-012,not_started
PROJ-001,TASK-014,Flooring Installation,Flooring,Floor Pro,2024-04-23T08:00:00Z,2024-05-03T17:00:00Z,,0,35000,0,TASK-013,not_started
PROJ-001,TASK-015,Final Electrical,Electrical,Spark Electric,2024-04-11T08:00:00Z,2024-04-18T17:00:00Z,,0,22000,0,TASK-012,not_started
PROJ-001,TASK-016,Final Plumbing,Plumbing,Flow Plumbing Co,2024-04-11T08:00:00Z,2024-04-18T17:00:00Z,,0,18000,0,TASK-012,not_started
PROJ-001,TASK-017,HVAC Final,HVAC,Climate Control LLC,2024-04-19T08:00:00Z,2024-04-25T17:00:00Z,,0,25000,0,TASK-015,not_started
PROJ-001,TASK-018,Kitchen Installation,General,Kitchen Specialists,2024-05-04T08:00:00Z,2024-05-15T17:00:00Z,,0,45000,0,TASK-014,not_started
PROJ-001,TASK-019,Bathroom Installation,General,Bathroom Pros,2024-05-04T08:00:00Z,2024-05-15T17:00:00Z,,0,38000,0,TASK-014,not_started
PROJ-001,TASK-020,Final Inspection,General,City Inspector,2024-05-16T08:00:00Z,2024-05-20T17:00:00Z,,0,5000,0,TASK-017,not_started
PROJ-002,TASK-021,Site Survey,General,Survey Co,2024-02-01T08:00:00Z,2024-02-05T17:00:00Z,2024-02-01T08:00:00Z,100,8000,7500,,done
PROJ-002,TASK-022,Demolition,General,Demolition Crew,2024-02-06T08:00:00Z,2024-02-12T17:00:00Z,2024-02-07T08:00:00Z,100,18000,20000,TASK-021,done
PROJ-002,TASK-023,Foundation Repair,Concrete,Foundation Fix LLC,2024-02-13T08:00:00Z,2024-02-20T17:00:00Z,2024-02-14T08:00:00Z,90,35000,38000,TASK-022,in_progress
PROJ-002,TASK-024,Frame Addition,Framing,Frame Builders Inc,2024-02-21T08:00:00Z,2024-03-08T17:00:00Z,,0,42000,0,TASK-023,not_started
PROJ-002,TASK-025,Electrical Upgrade,Electrical,Spark Electric,2024-03-09T08:00:00Z,2024-03-20T17:00:00Z,,0,28000,0,TASK-024,not_started
PROJ-002,TASK-026,Plumbing Upgrade,Plumbing,Flow Plumbing Co,2024-03-09T08:00:00Z,2024-03-20T17:00:00Z,,0,24000,0,TASK-024,not_started
PROJ-002,TASK-027,HVAC Installation,HVAC,Climate Control LLC,2024-03-21T08:00:00Z,2024-04-02T17:00:00Z,,0,38000,0,TASK-025,not_started
PROJ-002,TASK-028,HVAC Installation,HVAC,Climate Control LLC,2024-03-21T08:00:00Z,2024-04-02T17:00:00Z,,0,38000,0,TASK-026,not_started
PROJ-002,TASK-029,Insulation,Insulation,Insulate Pro,2024-04-03T08:00:00Z,2024-04-09T17:00:00Z,,0,15000,0,TASK-027,not_started
PROJ-002,TASK-030,Drywall,Drywall,Drywall Experts,2024-04-10T08:00:00Z,2024-04-22T17:00:00Z,,0,32000,0,TASK-029,not_started
PROJ-002,TASK-031,Painting,Painting,Color Masters,2024-04-23T08:00:00Z,2024-05-02T17:00:00Z,,0,22000,0,TASK-030,not_started
PROJ-002,TASK-032,Flooring,Flooring,Floor Pro,2024-05-03T08:00:00Z,2024-05-10T17:00:00Z,,0,28000,0,TASK-031,not_started
PROJ-002,TASK-033,Final Inspection,General,City Inspector,2024-05-11T08:00:00Z,2024-05-15T17:00:00Z,,0,5000,0,TASK-032,not_started
PROJ-003,TASK-034,Site Preparation,General,ABC Site Prep,2024-03-01T08:00:00Z,2024-03-08T17:00:00Z,2024-03-01T08:00:00Z,100,12000,11800,,done
PROJ-003,TASK-035,Foundation Excavation,Excavation,XYZ Excavation,2024-03-09T08:00:00Z,2024-03-15T17:00:00Z,2024-03-10T08:00:00Z,100,22000,23500,TASK-034,done
PROJ-003,TASK-036,Foundation Pour,Concrete,Concrete Masters,2024-03-16T08:00:00Z,2024-03-22T17:00:00Z,2024-03-17T08:00:00Z,100,40000,42000,TASK-035,done
PROJ-003,TASK-037,Foundation Curing,Concrete,Concrete Masters,2024-03-23T08:00:00Z,2024-03-28T17:00:00Z,,100,4500,4500,TASK-036,done
PROJ-003,TASK-038,Frame Structure,Framing,Frame Builders Inc,2024-03-29T08:00:00Z,2024-04-12T17:00:00Z,2024-03-30T08:00:00Z,75,58000,65000,TASK-037,in_progress
PROJ-003,TASK-039,Roof Framing,Framing,Frame Builders Inc,2024-04-13T08:00:00Z,2024-04-19T17:00:00Z,,0,32000,0,TASK-038,not_started
PROJ-003,TASK-040,Roofing Installation,Roofing,Roof Masters,2024-04-20T08:00:00Z,2024-04-26T17:00:00Z,,0,45000,0,TASK-039,not_started
PROJ-003,TASK-041,Rough Electrical,Electrical,Spark Electric,2024-04-05T08:00:00Z,2024-04-18T17:00:00Z,2024-04-06T08:00:00Z,40,30000,18000,TASK-038,in_progress
PROJ-003,TASK-042,Rough Plumbing,Plumbing,Flow Plumbing Co,2024-04-05T08:00:00Z,2024-04-18T17:00:00Z,2024-04-07T08:00:00Z,35,28000,15000,TASK-038,in_progress
